name,age,position,goals,weekly_salary
Lionel,35,Forward,28,150000
Kevin,32,Midfielder,18,120000
Erling,25,Forward,32,140000
Bruno,31,Midfielder,16,100000
Virgil,34,Defender,8,90000
Mohamed,33,Forward,25,130000
Jude,23,Midfielder,15,110000
Ruben,27,Defender,6,85000
Bukayo,24,Forward,20,95000
Rodri,30,Midfielder,12,105000
Trent,27,Defender,5,80000
Harry,30,Forward,22,125000
Martin,25,Midfielder,14,90000
William,29,Defender,7,75000
Phil,24,Forward,19,92000
Declan,27,Midfielder,10,88000
